captured_at,rth,symbol,underlying,expiry,tenor,strike,type,spot,bid,ask,bid_sz,ask_sz,mid,spread,spread_pct,moneyness,quote_t
2026-08-26T19:46:16.773519+00:00,True,TSLA260925C00340000,TSLA,2026-09-25,30dte,340.0,call,346.325,19.99,20.03,329,262,20.009999999999998,0.04,0.001999,0.9817,2026-08-26T19:46:16.489784244Z
2026-08-26T19:46:16.773519+00:00,True,INTC260904C00088000,INTC,2026-09-04,9dte,88.0,call,87.655,3.18,3.37,792,297,3.2750000000000004,0.19,0.058015,1.0039,2026-08-26T19:46:15.751288014Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260904C00345000,GOOGL,2026-09-04,9dte,345.0,call,342.29,4.83,4.92,137,133,4.875,0.09,0.018462,1.0079,2026-08-26T19:46:13.82530227Z
2026-08-26T19:46:16.773519+00:00,True,MU260904C00935000,MU,2026-09-04,9dte,935.0,call,936.92,39.25,41.26,54,114,40.254999999999995,2.01,0.049932,0.998,2026-08-26T19:46:12.045145943Z
2026-08-26T19:46:16.773519+00:00,True,META260925P00570000,META,2026-09-25,30dte,570.0,put,576.26,19.28,20.53,113,139,19.905,1.25,0.062798,0.9891,2026-08-26T19:46:15.955178593Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260925P00345000,GOOGL,2026-09-25,30dte,345.0,put,342.29,11.4,11.93,39,194,11.665,0.53,0.045435,1.0079,2026-08-26T19:46:12.750956282Z
2026-08-26T19:46:16.773519+00:00,True,MSFT260925P00490000,MSFT,2026-09-25,30dte,490.0,put,496.57,10.53,10.85,58,162,10.69,0.32,0.029935,0.9868,2026-08-26T19:46:15.137574011Z
2026-08-26T19:46:16.773519+00:00,True,GOOGL260925C00335000,GOOGL,2026-09-25,30dte,335.0,call,342.29,14.78,16.37,111,169,15.575,1.59,0.102087,0.9787,2026-08-26T19:46:10.73786727Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260925C00260000,AMZN,2026-09-25,30dte,260.0,call,260.28,8.78,9.11,216,44,8.945,0.33,0.036892,0.9989,2026-08-26T19:46:16.671409795Z
2026-08-26T19:46:16.773519+00:00,True,INTC260925C00088000,INTC,2026-09-25,30dte,88.0,call,87.655,5.81,6.25,162,550,6.029999999999999,0.44,0.072968,1.0039,2026-08-26T19:46:14.564548768Z
2026-08-26T19:46:16.773519+00:00,True,AMZN260925P00265000,AMZN,2026-09-25,30dte,265.0,put,260.28,10.53,10.67,9,142,10.6,0.14,0.013208,1.0181,2026-08-26T19:46:16.176056183Z
2026-08-26T19:46:16.773519+00:00,True,META260925C00580000,META,2026-09-25,30dte,580.0,call,576.26,22.45,23.74,351,50,23.095,1.29,0.055856,1.0065,2026-08-26T19:46:15.95633759Z
